count_point_id,direction_of_travel,year,count_date,hour,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_4_or_more_rigid_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
931907,N,2019,2019/6/17,18,3,Scotland,29,City of Edinburgh,U,Minor,,,318480,675750,55.967806,-3.30758,,,8,2,290,5,20,0,0,0,0,0,0,0,317
967493,N,2019,2019/6/3,17,3,Scotland,46,Moray,B9009,Minor,,,321837,829794,57.351908,-3.3006183,,,0,0,16,0,6,1,0,0,0,0,0,1,23
931911,S,2019,2019/4/30,13,3,Scotland,3,Glasgow City,U,Minor,,,258330,665740,55.863955,-4.2653026,,,1,0,84,3,9,2,0,0,0,0,0,2,98
982114,S,2019,2019/9/9,18,3,Scotland,3,Glasgow City,U,Minor,,,256985,667916,55.883093,-4.2879241,,,5,1,109,0,7,0,1,0,0,0,0,1,118
931918,E,2019,2019/9/13,18,3,Scotland,37,South Lanarkshire,C,Minor,,,261790,652180,55.743214,-4.2031725,,,0,6,904,9,54,0,0,0,0,0,0,0,973
990380,S,2019,2019/4/1,8,3,Scotland,52,Angus,C,Minor,,,370662,755917,56.694051,-2.4806236,,,0,0,6,0,1,0,0,0,0,0,0,0,7
931878,N,2019,2019/6/18,15,3,Scotland,41,North Ayrshire,U,Minor,,,228540,649150,55.705388,-4.730316,,,0,0,24,4,6,0,0,0,0,0,0,0,34
931920,E,2019,2019/9/18,12,3,Scotland,42,Stirling,U,Minor,,,255793,688720,56.069503,-4.3181125,,,0,0,6,0,5,0,0,0,0,0,0,0,11
983161,S,2019,2019/9/23,12,3,Scotland,45,Aberdeenshire,B993,Minor,,,362208,799896,57.088499,-2.6252123,,,0,1,56,0,14,0,3,0,1,0,0,4,75
1153,W,2019,2019/10/4,13,3,Scotland,30,Falkirk,A905,Major,M9,M9 slip,292310,680000,56.000814,-3.7283539,1.1,0.68,0,0,428,1,89,14,11,0,7,27,16,75,593
50853,E,2019,2019/9/30,13,3,Scotland,54,Orkney Islands,A966,Major,road to Mount Misery,A967,324803,1027796,59.130306,-3.3155866,1,0.62,3,0,8,0,2,0,0,0,0,0,0,0,10
983081,N,2019,2019/9/25,16,3,Scotland,45,Aberdeenshire,B9170,Minor,,,388127,846017,57.504196,-2.1997826,,,0,0,58,0,25,1,0,0,0,1,0,2,85
930184,N,2019,2019/9/30,18,3,Scotland,42,Stirling,B8034,Minor,,,259660,697640,56.150733,-4.2607407,,,0,0,10,0,5,0,0,0,0,0,0,0,15
951160,N,2019,2019/5/16,17,3,Scotland,37,South Lanarkshire,U,Minor,,,262310,655240,55.770836,-4.1964404,,,0,0,13,0,1,0,0,0,0,0,0,0,14
931831,N,2019,2019/3/27,7,3,Scotland,51,Aberdeen City,U,Minor,,,387230,812980,57.207411,-2.213023,,,4,3,390,0,57,12,1,0,5,5,1,24,474
940487,S,2019,2019/9/9,16,3,Scotland,37,South Lanarkshire,B783,Minor,,,263170,655068,55.769536,-4.1826563,,,1,3,470,3,68,13,3,0,5,4,3,28,572
967516,N,2019,2019/9/13,7,3,Scotland,51,Aberdeen City,U,Minor,,,392917,810726,57.187289,-2.1188201,,,2,1,41,0,6,0,0,0,0,0,0,0,48
931837,E,2019,2019/9/11,15,3,Scotland,45,Aberdeenshire,U,Minor,,,368210,864020,57.664934,-2.5344998,,,0,0,19,0,1,0,0,0,0,0,0,0,20
91024,N,2019,2019/10/10,7,3,Scotland,45,Aberdeenshire,A947,Major,LA Boundary with Aberdeenshire and Aberdeen City,"Junction near Goval Belt, Aberdeenshire",389230,814700,57.222914,-2.1799921,1.3,0.81,0,0,143,2,35,7,1,1,9,1,6,25,205
967547,E,2019,2019/6/20,10,3,Scotland,29,City of Edinburgh,C,Minor,,,320517,676996,55.97934,-3.2753234,,,2,1,40,0,11,0,1,0,0,0,0,1,53
50781,S,2019,2019/6/7,16,3,Scotland,37,South Lanarkshire,A72,Major,A71,B7086 Lanark Road,280844,649383,55.723163,-3.8986354,8.6,5.34,0,1,191,2,38,4,1,0,0,0,0,5,237
90106,N,2019,2019/6/18,15,3,Scotland,4,North Lanarkshire,A725,Major,M8,A8,273308,662493,55.83897,-4.0246316,0.4,0.25,0,4,756,3,208,39,2,7,8,4,36,96,1067
990780,N,2019,2019/5/13,11,3,Scotland,36,Midlothian,U,Minor,,,331570,664570,55.869421,-3.0950814,,,0,0,24,0,5,0,0,0,0,0,0,0,29
80529,S,2019,2019/9/25,9,3,Scotland,41,North Ayrshire,A736,Major,Cairnmount Rd,B785,234260,642000,55.643201,-4.6350731,0.9,0.56,1,0,90,2,29,1,2,1,0,1,3,8,129
931858,W,2019,2019/5/20,11,3,Scotland,30,Falkirk,U,Minor,,,286320,680360,56.002663,-3.8245007,,,1,0,92,2,9,1,1,0,0,0,0,2,105
80537,S,2019,2019/6/17,17,3,Scotland,39,East Ayrshire,M77,Major,M77 Slip Lane,M77 Slip Lane,246211,643753,55.662867,-4.446362,0.7,0.43,0,2,1734,11,305,11,4,0,4,6,27,52,2104
1094,S,2019,2019/6/10,10,3,Scotland,3,Glasgow City,A739,Major,A814,A82,254600,668000,55.883133,-4.3260627,2.3,1.43,7,3,1092,3,211,13,10,3,7,2,4,39,1348
